0,Cologne,Germany,2,50.935,6.992,53
Date (MM/DD/YYYY),Time (HH:MM),GHI (W/m^2),DNI (W/m^2),DHI (W/m^2),Dry-bulb (C),Pressure (mbar),Alb
09/23/2021,00:00:00,0.0,0.0,0.0,7.8,1012.4,0.0
09/23/2021,01:00:00,0.0,0.0,0.0,5.8,1011.7,0.0
09/23/2021,02:00:00,0.0,0.0,0.0,7.0,1011.1,0.0
09/23/2021,03:00:00,0.0,0.0,0.0,7.7,1010.5,0.0
09/23/2021,04:00:00,0.0,0.0,0.0,6.9,1009.9,0.0
09/23/2021,05:00:00,0.0,0.0,0.0,7.6,1009.7,0.0
09/23/2021,06:00:00,0.0,0.0,0.0,7.1,1010.2,0.0
09/23/2021,07:00:00,10.33504548,0.762949341,10.26895253,10.1,1009.8,0.4837051847063612
09/23/2021,08:00:00,119.1589581,402.8252113,41.34820763,13.2,1009.5,0.4755210778755911
09/23/2021,09:00:00,278.4510449,593.9182977,85.84565857,15.9,1009.0,0.4917786279186841
09/23/2021,10:00:00,401.9752959,627.9729848,117.9150793,18.0,1008.1,0.47149191456335565
09/23/2021,11:00:00,497.166862,702.6982355,110.9363827,20.0,1007.4,0.4061392544461885
09/23/2021,12:00:00,575.7687086,740.0345899,126.2383066,21.1,1006.7,0.3031623422758176
09/23/2021,13:00:00,592.3380325,681.9858575,166.0243001,22.0,1006.4,0.2517548047614141
09/23/2021,14:00:00,453.5831557,494.0277595,158.1264985,21.9,1005.9,0.2689690224881408
09/23/2021,15:00:00,419.0205189,516.8319541,145.5812428,21.0,1005.4,0.3596954739517191
09/23/2021,16:00:00,334.1602899,358.7985463,176.7270596,20.3,1005.3,0.4685202084598699
09/23/2021,17:00:00,130.0378883,46.06265599,113.9367234,19.4,1005.3,0.48931701390488924
09/23/2021,18:00:00,30.02490786,0.077717938,30.01438024,18.9,1005.5,0.49216766132169193
09/23/2021,19:00:00,0.938201114,0.0,0.938201114,17.9,1005.6,0.4943893476954996
09/23/2021,20:00:00,0.0,0.0,0.0,17.6,1006.0,0.0
09/23/2021,21:00:00,0.0,0.0,0.0,17.5,1006.4,0.0
09/23/2021,22:00:00,0.0,0.0,0.0,17.0,1006.6,0.0
09/23/2021,23:00:00,0.0,0.0,0.0,16.0,1006.4,0.0
09/24/2021,00:00:00,0.0,0.0,0.0,16.9,1006.2,0.0
09/24/2021,01:00:00,0.0,0.0,0.0,16.5,1006.0,0.0
09/24/2021,02:00:00,0.0,0.0,0.0,16.4,1005.8,0.0
09/24/2021,03:00:00,0.0,0.0,0.0,16.1,1005.7,0.0
09/24/2021,04:00:00,0.0,0.0,0.0,15.7,1005.7,0.0
09/24/2021,05:00:00,0.0,0.0,0.0,15.3,1005.9,0.0
09/24/2021,06:00:00,0.0,0.0,0.0,15.2,1006.0,0.0
09/24/2021,07:00:00,3.656388533,0.0,3.656388533,15.4,1006.0,0.483688322135476
09/24/2021,08:00:00,43.11522381,0.085380271,43.09762477,16.2,1006.1,0.4741121505666994
09/24/2021,09:00:00,167.6438073,76.8750821,141.9816582,16.9,1006.4,0.4940854114186197
09/24/2021,10:00:00,162.6147279,34.7650948,145.7878487,17.9,1006.1,0.489447613178471
09/24/2021,11:00:00,454.4570796,409.2539078,229.0189584,19.7,1005.8,0.4401903544990892
09/24/2021,12:00:00,484.5610979,396.4567188,247.2654565,19.2,1005.4,0.37544689314675134
09/24/2021,13:00:00,335.755479,151.1110381,241.9216131,19.9,1005.0,0.39671379004298246
09/24/2021,14:00:00,193.4233242,0.4006305,193.1858281,19.8,1004.7,0.4861912019968303
09/24/2021,15:00:00,153.794525,1.019090153,153.2320285,19.4,1004.3,0.4861968431478134
09/24/2021,16:00:00,92.26694978,0.169665922,92.19443745,19.5,1004.1,0.48778180249197234
09/24/2021,17:00:00,71.29215977,0.026270852,71.28371154,18.7,1004.3,0.4895169243017593
